Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,21.160000,23.080000,21.160000,22.900000,22.900000,223800
2019-01-03,22.629999,22.700001,21.610001,22.049999,22.049999,148100
2019-01-04,22.600000,23.860001,22.330000,23.730000,23.730000,241600
2019-01-07,23.799999,24.719999,23.500000,24.309999,24.309999,241000
2019-01-08,24.680000,25.450001,24.299999,25.270000,25.270000,313500
2019-01-09,25.290001,25.969999,25.120001,25.510000,25.510000,366100
2019-01-10,25.209999,25.860001,25.190001,25.820000,25.820000,151300
2019-01-11,25.500000,25.950001,25.400000,25.650000,25.650000,221000
2019-01-14,25.420000,26.170000,25.270000,25.760000,25.760000,194000
2019-01-15,25.700001,25.879999,25.020000,25.370001,25.370001,124000
2019-01-16,25.440001,25.920000,25.170000,25.530001,25.530001,295800
2019-01-17,25.420000,26.059999,25.420000,25.879999,25.879999,287700
2019-01-18,26.160000,26.879999,26.160000,26.340000,26.340000,233200
2019-01-22,25.969999,26.440001,25.620001,26.340000,26.340000,158600
2019-01-23,26.549999,26.879999,25.299999,25.520000,25.520000,208400
2019-01-24,25.650000,26.549999,25.650000,26.290001,26.290001,154800
2019-01-25,26.750000,27.580000,26.540001,27.370001,27.370001,178200
2019-01-28,26.980000,27.520000,26.900000,27.299999,27.299999,149700
2019-01-29,27.379999,27.879999,26.920000,27.690001,27.690001,187800
2019-01-30,28.000000,28.760000,27.650000,28.490000,28.490000,178900
2019-01-31,28.160000,28.650000,27.969999,28.200001,28.200001,127600
2019-02-01,28.100000,28.799999,28.030001,28.629999,28.629999,122300
2019-02-04,28.610001,28.850000,28.330000,28.830000,28.830000,178000
2019-02-05,28.860001,29.059999,28.250000,28.440001,28.440001,126300
2019-02-06,28.410000,29.070000,28.270000,28.850000,28.850000,162700
2019-02-07,28.549999,28.549999,27.469999,27.690001,27.690001,179400
2019-02-08,27.410000,27.870001,26.740000,27.000000,27.000000,103100
2019-02-11,27.070000,27.719999,26.910000,27.709999,27.709999,135500
2019-02-12,28.219999,28.629999,27.940001,28.370001,28.370001,81800
2019-02-13,28.500000,28.700001,28.150000,28.190001,28.190001,142300
2019-02-14,28.010000,28.690001,28.010000,28.350000,28.350000,177300
2019-02-15,28.709999,29.219999,28.590000,29.160000,29.160000,200500
2019-02-19,30.100000,37.779999,30.090000,36.369999,36.369999,1255200
2019-02-20,36.000000,36.799999,34.959999,35.009998,35.009998,403000
2019-02-21,34.990002,34.990002,33.869999,34.540001,34.540001,232500
2019-02-22,34.820000,35.799999,34.630001,35.779999,35.779999,185800
