Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,175.839996,181.000000,172.500000,180.110001,179.438644,39900
2019-01-03,180.100006,203.589996,177.449997,177.889999,177.226913,27200
2019-01-04,178.839996,183.970001,178.160004,181.889999,181.212021,29100
2019-01-07,182.199997,188.389999,180.029999,185.470001,184.778671,34500
2019-01-08,187.330002,194.229996,186.190002,191.470001,190.756302,27200
2019-01-09,192.160004,196.440002,192.080002,193.320007,192.599426,41500
2019-01-10,194.259995,203.229996,193.429993,199.610001,198.865982,55100
2019-01-11,199.600006,208.660004,198.830002,208.660004,207.882233,31100
2019-01-14,207.300003,207.300003,199.000000,200.660004,199.912064,47900
2019-01-15,201.160004,203.580002,200.119995,201.339996,200.589508,26800
2019-01-16,201.509995,203.100006,197.919998,199.110001,198.367828,28400
2019-01-17,199.589996,205.240005,198.500000,205.240005,204.474991,38600
2019-01-18,204.759995,209.880005,200.759995,207.449997,206.676743,18200
2019-01-22,208.000000,209.500000,204.270004,208.110001,207.334290,22300
2019-01-23,207.619995,214.429993,205.759995,213.809998,213.013031,20900
2019-01-24,212.080002,216.639999,210.850006,213.759995,213.212509,17300
2019-01-25,213.210007,217.949997,211.199997,211.619995,211.077988,26600
2019-01-28,212.000000,213.169998,203.809998,211.360001,210.818680,17300
2019-01-29,211.669998,211.979996,209.270004,210.449997,209.910995,14200
2019-01-30,210.000000,213.630005,209.059998,211.750000,211.207672,13800
2019-01-31,211.429993,215.860001,207.580002,215.800003,215.247299,19600
2019-02-01,216.649994,217.000000,212.669998,216.990005,216.434250,14500
2019-02-04,216.550003,220.610001,215.649994,220.000000,219.436554,39700
2019-02-05,219.699997,220.729996,215.250000,217.130005,216.573898,15200
2019-02-06,217.270004,218.699997,215.490005,218.000000,217.441650,11000
2019-02-07,217.169998,222.229996,217.169998,220.500000,219.935257,32100
2019-02-08,219.130005,222.000000,218.000000,220.770004,220.204575,13400
2019-02-11,220.809998,224.610001,220.809998,224.610001,224.034744,28000
2019-02-12,225.000000,226.570007,222.000000,224.880005,224.304031,21600
2019-02-13,225.000000,227.000000,224.020004,225.929993,225.351349,14100
2019-02-14,224.350006,226.899994,221.619995,226.479996,225.899948,21300
2019-02-15,227.190002,229.500000,225.179993,225.179993,224.603256,39100
2019-02-19,225.039993,227.660004,223.559998,224.000000,223.426285,26200
2019-02-20,224.710007,228.000000,224.169998,225.139999,224.563385,21000
2019-02-21,224.110001,227.800003,223.100006,226.779999,226.199173,18700
2019-02-22,226.720001,230.000000,226.020004,226.839996,226.259018,34100
2019-02-25,227.000000,227.800003,218.309998,218.800003,218.239609,34500
2019-02-26,218.000000,219.070007,210.000000,211.960007,211.417145,47000
2019-02-27,214.839996,230.339996,211.270004,229.160004,228.573090,66400
2019-02-28,230.350006,250.460007,229.500000,247.860001,247.225174,51900
2019-03-01,247.020004,251.940002,239.600006,248.199997,247.564316,55900
2019-03-04,249.990005,252.729996,243.710007,244.850006,244.222900,47700
2019-03-05,243.910004,250.899994,236.199997,248.419998,247.783768,44900
2019-03-06,249.300003,252.589996,244.699997,250.509995,249.868408,48600
2019-03-07,250.500000,253.240005,247.979996,247.979996,247.344879,17100
2019-03-08,246.830002,249.750000,240.000000,248.600006,247.963303,18800
2019-03-11,247.220001,256.660004,247.220001,256.010010,255.354324,33800
2019-03-12,256.109985,259.059998,254.539993,254.910004,254.257141,32900
2019-03-13,254.610001,259.720001,254.610001,258.019989,257.359161,22900
2019-03-14,258.440002,258.640015,255.210007,256.239990,255.583710,17600
2019-03-15,256.359985,259.709991,254.410004,257.750000,257.089874,45600
2019-03-18,258.220001,261.700012,255.229996,258.540009,257.877869,32500
2019-03-19,259.790009,261.500000,255.529999,258.959991,258.296753,32400
2019-03-20,258.720001,262.290009,258.589996,258.589996,257.927704,30300
2019-03-21,258.309998,266.540009,258.250000,260.649994,259.982422,32900
2019-03-22,260.070007,263.000000,257.470001,259.250000,258.585999,26000
2019-03-25,259.269989,264.149994,256.579987,262.970001,262.296478,21700
2019-03-26,265.000000,282.380005,260.010010,281.010010,280.290283,60900
2019-03-27,280.000000,280.000000,270.109985,277.660004,276.948853,62700
2019-03-28,276.829987,286.920013,274.250000,283.970001,283.242676,42200
2019-03-29,284.910004,293.070007,284.679993,287.829987,287.092834,46200
2019-04-01,289.339996,289.920013,278.070007,280.799988,280.080811,65400
2019-04-02,279.720001,283.660004,273.809998,283.660004,282.933502,42600
2019-04-03,283.559998,292.890015,283.559998,285.790009,285.058044,52400
2019-04-04,289.290009,294.709991,287.200012,294.670013,293.915314,43100
2019-04-05,292.500000,299.880005,292.000000,296.799988,296.039825,66100
2019-04-08,295.839996,297.100006,290.100006,291.220001,290.474152,47800
2019-04-09,290.549988,294.010010,289.989990,291.619995,290.873108,50400
2019-04-10,291.170013,299.000000,290.179993,294.700012,293.945251,60000
2019-04-11,295.399994,297.019989,292.420013,293.660004,292.907898,36100
2019-04-12,294.709991,296.000000,290.000000,290.510010,289.765961,37800
2019-04-15,290.510010,299.010010,290.510010,298.149994,297.386414,34300
2019-04-16,299.320007,302.000000,293.339996,295.670013,294.912720,39300
2019-04-17,296.250000,297.600006,289.000000,294.730011,293.975159,39600
2019-04-18,295.029999,302.709991,293.200012,302.089996,301.316284,34500
2019-04-22,302.149994,308.239990,301.779999,303.980011,303.201477,49300
2019-04-23,304.670013,310.000000,303.000000,309.390015,308.597626,40100
2019-04-24,309.309998,324.899994,306.390015,320.399994,319.579407,54000
2019-04-25,320.160004,334.690002,319.450012,332.500000,331.907410,50500
2019-04-26,334.000000,342.950012,328.850006,331.570007,330.979065,56500
2019-04-29,330.329987,339.450012,327.600006,328.000000,327.415436,42600
2019-04-30,328.290009,329.630005,321.899994,325.029999,324.450684,62100
